
Activity Name: RopeSkipping/whc
Left,Front
2014-09-29 10:34:53
x	y	z
0.092	0.478	0.95
0.072	0.47	0.914
0.082	0.508	0.932
0.146	0.57	0.912
0.204	0.556	0.974
0.176	0.552	0.934
0.14	0.526	0.89
0.216	0.584	0.816
0.308	0.436	0.792
0.154	0.598	0.89
0.324	0.426	1.046
0.35	0.298	0.86
0.268	0.4	0.67
0.326	0.468	0.506
0.768	0.408	0.738
0.144	0.326	0.62
0.14	0.45	0.946
0.118	0.334	0.934
0.068	0.344	0.934
0.172	0.45	0.972
0.112	0.436	0.998
0.116	0.506	1.05
0.068	0.446	1.052
0.124	0.49	0.902
-0.02	0.568	0.836
0.01	0.57	0.882
0.008	0.522	0.948
0.04	0.514	1.102
0.06	0.454	1.404
0.2	0.644	1.142
0.242	0.816	0.836
0.488	0.69	0.59
1.036	0.362	0.18
1.172	0.206	-0.284
0.942	0.268	-0.186
0.97	0.322	-0.07
1.066	0.546	0.092
0.152	0.914	0.446
-0.324	1.456	0.71
-0.324	1.456	0.71
-0.494	1.922	0.9
-0.168	1.68	0.734
0.214	1.036	0.304
0.33	0.828	0.214
0.828	0.546	0.082
1.24	0.31	-0.248
1.494	0.254	0.088
1.7	0.068	-0.052
1.16	0.43	-0.144
0.614	0.858	0.068
0.258	1.272	0.374
-0.006	1.672	0.618
-0.204	1.662	0.524
-0.186	1.252	0.328
-0.04	0.752	0.1
0.058	0.456	-0.09
0.074	0.404	-0.094
0.254	0.3	0.116
0.514	0.216	0.35
0.806	0.184	0.222
0.978	0.066	0.02
1.436	-0.28	0.166
1.752	-0.44	0.844
1.614	-0.326	0.772
1.524	-0.306	0.278
1.618	-0.428	0.058
1.632	-0.504	-0.114
1.5	-0.416	-0.364
1.22	-0.298	-0.348
1.278	-0.244	-0.284
1.49	-0.088	-0.252
1.634	0.012	-0.1
1.862	0.14	-0.02
1.774	0.284	-0.072
1.438	0.198	-0.052
1.318	-0.128	-0.03
1.294	-0.342	0.07
1.334	-0.452	0.068
1.558	-0.6	0.002
1.682	-0.66	-0.034
1.676	-0.558	0.012
1.334	-0.528	0.092
1.1	-0.398	0.13
0.916	-0.266	0.246
0.75	-0.11	0.314
0.588	0.046	0.254
0.46	0.226	0.3
0.244	0.438	0.402
0.3	0.57	0.474
0.3	0.57	0.474
0.23	0.576	0.41
0.196	0.534	0.396
0.194	0.484	0.366
0.272	0.36	0.238
0.3	0.12	0.024
0.512	-0.034	0.088
0.89	-0.27	0.368
1.25	-0.468	0.47
1.768	-0.69	0.346
2.008	-0.546	0.202
1.706	-0.29	0.128
1.496	-0.186	0.126
1.356	-0.2	0.07
1.114	-0.19	-0.004
1.004	-0.146	-0.074
0.992	-0.062	-0.074
1.02	-0.01	-0.03
1.076	0.02	0.046
1.194	0.086	0.124
1.288	0.084	0.12
1.372	0.056	0.108
1.364	-0.016	0.068
1.496	-0.238	0.072
1.534	-0.266	0.13
1.468	-0.242	0.178
1.404	-0.288	0.224
1.314	-0.356	0.144
1.172	-0.39	0.084
1.05	-0.402	0.07
0.888	-0.358	0.098
0.714	-0.278	0.122
0.606	-0.178	0.154
0.64	-0.078	0.234
0.676	-0.056	0.34
0.648	-0.068	0.386
0.584	-0.068	0.418
0.57	-0.054	0.412
0.654	-0.042	0.384
0.766	-0.094	0.316
0.932	-0.172	0.234
1.238	-0.2	0.098
1.496	-0.296	-0.054
1.554	-0.33	-0.094
1.382	-0.076	0.038
1.246	0.024	0.184
1.232	0.006	0.156
1.13	-0.06	0.04
1.014	-0.08	0.016
0.914	-0.068	-0.024
0.878	-0.072	-0.01
0.932	-0.074	0.022
0.922	-0.08	0.05
0.932	-0.11	0.04
0.952	-0.164	-0.012
0.936	-0.22	-0.026
0.952	-0.228	-0.022
0.946	-0.238	0.012
0.92	-0.198	0.046
1.072	-0.19	-0.002
1.33	-0.276	-0.068
1.272	-0.032	0.034
1.298	0.078	0.124
1.236	-0.13	0.02
1.158	-0.29	-0.042
1.076	-0.348	-0.038
0.982	-0.332	-0.026
0.9	-0.272	-0.026
0.816	-0.246	-0.022
0.79	-0.264	-0.034
0.75	-0.256	-0.052
0.726	-0.24	-0.052
0.722	-0.238	-0.04
0.73	-0.23	-0.04
0.762	-0.262	-0.03
0.91	-0.328	-0.02
1.056	-0.376	-0.018
1.192	-0.41	-0.01
1.448	-0.486	0.038
1.526	-0.482	0.056
1.386	-0.35	0.07
1.26	-0.16	0.096
1.154	-0.102	0.088
0.998	-0.13	0.014
0.924	-0.22	-0.024
0.822	-0.306	0
0.718	-0.336	0.004
0.64	-0.426	-0.032
0.564	-0.554	-0.112
